title_word_count,text_richness,title_to_abstract_ratio,abstract_word_count,concept_count,keyword_count,recency_score,text_length_category,abstract_keyword_overlap,oa_category
21,0.1265,0.0824,253,16,16,0.6667,3,1,fully_open
10,0.1887,0.0492,212,24,16,0.6667,2,0,fully_open
7,0.1027,0.046,224,13,10,0.3333,3,1,partially_open
17,0.1892,0.1132,148,16,12,0,2,1,partially_open
9,0.0909,0.0497,198,10,8,0.3333,2,0,fully_open
9,0.0825,0.0428,206,9,8,0,2,1,partially_open
15,0.24,0.1928,100,12,12,0.3333,2,1,partially_open
9,0.0456,0.0325,241,6,5,0,3,0,partially_open
9,0.1729,0.0602,214,20,17,0.3333,3,1,partially_open
9,0.0963,0.0344,322,19,12,0,3,0,fully_open
9,0.1351,0.0503,185,15,10,0,2,1,closed
14,0.2242,0.0823,165,22,15,0,2,1,fully_open
9,0.2029,0.0855,138,17,11,0,2,0,partially_open
9,0.1637,0.0592,171,14,14,0,2,1,fully_open
8,0.0812,0.0246,271,12,10,0,3,1,partially_open
6,0.1418,0.047,141,11,9,0.3333,2,1,partially_open
9,0.1163,0.043,215,14,11,0,3,0,partially_open
8,0.1542,0.0371,227,22,13,0,2,1,partially_open
10,0.0926,0.1065,108,5,5,0.3333,2,0,partially_open
8,0.1491,0.0393,228,18,16,0,3,0,fully_open
10,0.1471,0.0596,170,14,11,0.3333,2,1,partially_open
13,0.1355,0.0573,273,23,14,0.3333,3,0,fully_open
5,0.2248,0.048,129,16,13,0,2,1,partially_open
7,0.3913,0.0906,92,20,16,1,2,1,partially_open
7,0.2627,0.0584,118,17,14,0.3333,2,0,partially_open
9,0.1908,0.0723,152,17,12,0,2,1,fully_open
1,0.1042,0.0045,192,11,9,0,2,0,closed
9,0.155,0.0491,258,22,18,0,3,1,fully_open
9,0.1121,0.0434,214,14,10,0,3,0,fully_open
9,0.1123,0.0571,187,11,10,0,2,1,fully_open
12,0.1119,0.0725,143,8,8,0.6667,2,1,fully_open
10,0.0882,0.0657,204,9,9,0,2,1,fully_open
13,0.1088,0.0796,193,13,8,0,2,1,partially_open
8,0.1513,0.0361,238,20,16,0,3,1,partially_open
5,0.2061,0.0409,131,14,13,0.6667,2,1,partially_open
9,0.1481,0.0716,162,12,12,0.6667,2,1,partially_open
7,0.121,0.0267,248,18,12,0.3333,3,0,closed
4,0.2108,0.0233,204,28,15,0,2,0,partially_open
10,0.1918,0.071,146,16,12,0.3333,2,0,partially_open
8,0.269,0.0503,145,23,16,0,2,1,closed
14,0.1338,0.0935,142,11,8,0,2,1,partially_open
3,0.1511,0.0234,139,11,10,1,2,1,partially_open
10,0.0918,0.0494,207,12,7,0.6667,3,0,closed
8,0.1076,0.0332,223,13,11,0,3,1,fully_open
6,0.1984,0.045,126,13,12,0,2,1,closed
9,0.1839,0.1048,87,8,8,0,2,1,partially_open
5,0.3406,0.0457,138,27,20,0,2,0,fully_open
9,0.15,0.0803,140,11,10,0.3333,2,1,partially_open
14,0.0944,0.0375,413,22,17,0,3,1,partially_open
5,0.1327,0.0228,211,16,12,0,2,1,partially_open
9,0.0969,0.0401,227,12,10,0,3,1,closed
12,0.1181,0.0963,127,8,7,0,2,1,fully_open
8,0.2586,0.0798,116,18,12,0,2,1,partially_open
21,0.1158,0.0823,259,16,14,0.6667,3,1,fully_open
10,0.2435,0.0773,115,15,13,0,2,0,partially_open
8,0.1057,0.0393,227,14,10,0,3,0,fully_open
12,0.2245,0.0678,196,23,21,0,2,1,closed
16,0.074,0.0537,311,14,9,0.3333,3,1,fully_open
15,0.1414,0.098,198,16,12,0,2,1,closed
10,0.1237,0.0562,194,13,11,0.3333,2,1,fully_open
12,0.1373,0.0373,255,19,16,0,3,0,partially_open
11,0.1422,0.0546,232,19,14,0,3,1,fully_open
10,0.1286,0.0804,140,9,9,0.3333,2,0,fully_open
5,0.0769,0.0301,169,7,6,0,2,1,closed
18,0.07,0.1137,200,7,7,0,2,1,partially_open
12,0.1934,0.0626,212,21,20,0.3333,3,0,partially_open
7,0.1299,0.0488,177,13,10,0.3333,2,1,fully_open
13,0.1138,0.1087,167,10,9,0,2,1,fully_open
12,0.0554,0.0432,271,8,7,0,3,1,partially_open
17,0.1617,0.0912,167,14,13,0,2,1,closed
11,0.1643,0.0608,213,21,14,0.6667,3,0,closed
16,0.1345,0.0779,223,16,14,0.3333,3,1,partially_open
7,0.142,0.0399,162,13,10,0,2,1,fully_open
8,0.1023,0.0366,215,11,11,0.6667,3,1,closed
8,0.0874,0.0381,206,9,9,0,2,1,fully_open
10,0.2102,0.0552,157,18,15,0,2,1,fully_open
7,0.1,0.037,180,11,7,0.6667,2,0,closed
13,0.1854,0.0691,178,19,14,0.3333,2,1,fully_open
12,0.0605,0.0381,248,8,7,0.3333,3,1,fully_open
9,0.2632,0.0662,152,25,15,0.3333,2,0,fully_open
9,0.4375,0.1028,112,30,19,0,2,0,partially_open
16,0.1702,0.0896,188,19,13,0.3333,2,1,fully_open
17,0.0321,0.1082,187,3,3,0.3333,2,1,fully_open
8,0.163,0.0624,135,13,9,0,2,1,fully_open
6,0.1379,0.0312,232,17,15,0.3333,3,1,closed
11,0.1311,0.0601,206,14,13,0.3333,2,1,fully_open
5,0.3284,0.0814,67,11,11,0,1,0,partially_open
14,0.1834,0.0891,169,18,13,0,2,0,fully_open
19,0.0355,0.0689,282,5,5,0.3333,3,1,fully_open
5,0.2235,0.0363,179,23,17,0,2,1,fully_open
8,0.1467,0.07,150,12,10,0.3333,2,1,fully_open
10,0.1513,0.0434,238,21,15,0,3,1,partially_open
13,0.1382,0.0787,217,15,15,0,3,1,fully_open
10,0.2121,0.0909,132,14,14,0.3333,2,1,closed
7,0.1649,0.0688,97,8,8,0.3333,2,1,fully_open
21,0.0887,0.0665,327,18,11,0,3,1,fully_open
12,0.1286,0.0717,140,10,8,0,2,1,fully_open
13,0.0966,0.0836,145,7,7,0.3333,2,0,fully_open
7,0.0921,0.0423,152,8,6,0.6667,2,1,fully_open
6,0.0816,0.0366,196,9,7,0.6667,2,0,partially_open
10,0.0905,0.0457,210,10,9,1,2,0,partially_open
19,0.1494,0.0936,174,13,13,0.3333,2,0,closed
11,0.0848,0.056,224,10,9,0.3333,3,1,fully_open
10,0.3185,0.0902,135,22,21,0,2,1,fully_open
15,0.1361,0.1266,147,10,10,0,2,1,fully_open
8,0.1742,0.0601,155,19,8,1,2,1,partially_open
9,0.118,0.0559,161,10,9,0.3333,2,1,partially_open
9,0.1161,0.0498,224,17,9,0,3,1,partially_open
7,0.142,0.041,176,15,10,0.3333,2,0,partially_open
12,0.3485,0.0854,132,25,21,0,2,1,fully_open
10,0.2768,0.0866,112,17,14,0.3333,2,1,partially_open
15,0.0945,0.0449,328,18,13,0.3333,3,1,fully_open
9,0.1354,0.0428,229,17,14,0,3,1,partially_open
14,0.2245,0.1074,147,20,13,0,2,1,fully_open
12,0.1049,0.0866,162,9,8,0.3333,2,0,partially_open
7,0.0612,0.0318,245,8,7,0,3,1,partially_open
8,0.1854,0.0674,151,15,13,0.3333,2,0,fully_open
12,0.0465,0.0423,258,6,6,0.3333,3,0,fully_open
6,0.0723,0.0301,249,10,8,0,3,1,closed
13,0.2143,0.0875,168,20,16,0,2,1,fully_open
10,0.301,0.1058,103,18,13,0,2,0,closed
13,0.4615,0.1444,91,23,19,0.3333,2,1,fully_open
15,0.102,0.0671,255,14,12,0,3,0,fully_open
12,0.10780000000000001,0.0714,204,11,11,0,2,1,fully_open
17,0.1576,0.0954,203,17,15,0.3333,3,1,fully_open
5,0.1492,0.0382,181,14,13,0,2,1,fully_open
10,0.1928,0.0674,166,19,13,0.6667,2,1,fully_open
8,0.125,0.0518,144,10,8,0.3333,2,1,partially_open
9,0.189,0.0644,164,16,15,0,2,1,fully_open
13,0.2647,0.0954,136,20,16,0,2,1,fully_open
7,0.1985,0.0493,131,15,11,0.3333,2,0,fully_open
13,0.0829,0.0646,193,8,8,0.3333,2,1,partially_open
9,0.0862,0.0474,232,11,9,0.6667,3,0,partially_open
11,0.1406,0.0627,192,15,12,0,2,1,partially_open
