publication_year,paper_age,title_length,abstract_length,keyword_count,concept_count,has_doi,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,publication_year_norm,is_open_access_int,has_fulltext_int,oa_cat_fully_open,oa_cat_partially_open,oa_cat_closed,impact_tier
2024,2,62,1626,6,6,1,9,237,0.0381,0.0506,0.6667,1,0.6667,0,0,0,0,1,high
2022,4,91,1374,12,15,1,12,166,0.0662,0.1627,0,0,0,1,1,1,0,0,high
2023,3,119,1699,10,10,1,16,261,0.07,0.0766,0.3333,0,0.3333,1,1,0,1,0,high
2023,3,68,1412,15,18,1,10,203,0.0482,0.1626,0.3333,1,0.3333,1,1,0,1,0,high
2024,2,105,1367,14,18,1,11,170,0.0768,0.1882,0.6667,1,0.6667,1,1,1,0,0,high
2024,2,31,655,9,9,1,3,88,0.0473,0.2045,0.6667,0,0.6667,1,0,1,0,0,high
2022,4,32,853,11,13,1,4,116,0.0375,0.2069,0,1,0,1,0,0,1,0,high
2022,4,77,1376,11,18,1,10,171,0.056,0.1696,0,0,0,1,1,0,1,0,high
2023,3,94,1822,9,13,1,10,257,0.0516,0.0856,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,61,2421,13,13,1,10,392,0.0252,0.0663,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,59,1007,11,14,1,7,152,0.0586,0.1645,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,24,1494,9,11,1,3,204,0.0161,0.098,0.3333,0,0.3333,1,1,1,0,0,high
2023,3,113,1903,8,12,1,13,279,0.0594,0.0717,0.3333,1,0.3333,1,1,1,0,0,high
2024,2,60,1270,4,4,1,9,179,0.0472,0.0447,0.6667,1,0.6667,1,0,0,1,0,high
2022,4,134,1565,14,14,1,18,214,0.0856,0.1308,0,0,0,1,1,1,0,0,high
2024,2,69,1188,19,24,1,10,164,0.0581,0.2622,0.6667,0,0.6667,1,0,1,0,0,high
2023,3,77,1789,11,12,1,9,228,0.043,0.1009,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,106,1226,14,17,1,12,177,0.0865,0.1751,0,1,0,1,0,0,1,0,high
2022,4,56,1418,12,14,1,8,204,0.0395,0.1275,0,1,0,0,0,0,0,1,high
2024,2,78,2241,11,12,1,12,295,0.0348,0.078,0.6667,1,0.6667,1,0,1,0,0,high
2024,2,193,1439,18,22,1,28,232,0.1341,0.1724,0.6667,1,0.6667,1,0,1,0,0,high
2023,3,94,1086,13,15,1,12,156,0.0866,0.1795,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,54,859,11,13,1,8,129,0.0629,0.186,0,1,0,1,1,1,0,0,high
2024,2,90,1233,12,15,1,12,184,0.073,0.1467,0.6667,1,0.6667,1,0,1,0,0,high
